id,area,goal,comparison,outcome,result,reason,scope,sources
MT099,Meta-gradient measurements,Explain the late-training correlation rebound,Original clipping vs box-free repeats and beta-velocity evidence,unresolved,Rebound persists after unclipping; its cause remains unexplained.,Both tested mechanisms fail; no third mechanism was registered.,"R10/C10 andR18/C100,20epochs,n=2. Rebound2.690→2.701 and2.577→2.583 while Q4 occupancy100%→0%. Scientifically unresolved, operationally closed by the historical CLOSEOUT9b decision; it is not a queued registered follow-up.","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 99}, {""reference"": ""CORRECTIONS 69"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 2093}, {""reference"": ""CORRECTIONS 115"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693}, {""reference"": ""docs/CLOSEOUT.md item9b""}]"
MT135,Mechanism and isolation,Replicate an interior r optimum on ResNet-50,Six additive r values at two initial stepsizes,unresolved,Both initial-stepsize strata are unresolved; combined token SPLIT does not establish transfer.,Neither registered peak confirmation nor flat-curve refutation fires.,"`a2g3`, 36 runs, 100 ep, ResNet-50","[""repository/docs/MASTER-TABLE.md:135"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 141.1]"", ""repository/analysis/cA2_g3_score.py""]"
MT138,Mechanism and isolation,Determine whether the additive peak is Lion-specific,Adam and Lion additive r ladders with internal endpoints,unresolved,All 24 runs completed; Adam grid remains truncated near its best interior rung.,Unsampled r below 0.03 prevents the registered conclusion.,"`lsm1`, 24 runs, 100 ep","[""repository/docs/MASTER-TABLE.md:138"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 142.1; `analysis/cA3_lsm1_score.py`]"", ""repository/analysis/cA3_lsm1_score.py""]"
MT139,Mechanism and isolation,Explain accuracy through group count or size balance,Balanced count ladder and fixed-count mirrored two-group partitions,mixed,Mirrored cuts have identical tensor-count entropy but differ by 16.5393 pp.,Tensor-count entropy fails; count alone cannot explain fixed-count differences.,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch","[""repository/docs/MASTER-TABLE.md:139"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 143; `analysis/cJ1_cbl1_score.py`]"", ""repository/analysis/cJ1_cbl1_score.py""]"
MT140,Mechanism and isolation,Test granularity effects on ImageNet-489,"Scalar, six blocks, layerwise, and nodewise at common epoch 80",unresolved,Scalar and blocks fail the learned-floor gate; nodewise improves over layerwise.,Registered BLOCK and GRAN gates refuse near-floor scalar and block arms.,"`in489g1`, 12 runs, ImageNet-489","[""repository/docs/MASTER-TABLE.md:140"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 144, superseded in part at 163.6]"", ""repository/analysis/cI1_in489g1_score.py""]"
MT144,Mechanism and isolation,Resolve scalar clamp dependence using existing runs,Released scalar contrasts versus canonical contrasts across archived batches,unresolved,The old ub9/tc1 audits remain unresolved or void on occupancy. Later within-batch cfr1/cfr2 floor-release controls partially settle the intended scalar/layerwise issue: headline 1e-4 and 1e-3 endpoints are discharged; the 3e-4 middle rung remains constrained.,Middle rung remains constrained; blockwise remains unaudited.,"`cN1`/`cN2`, **ZERO GPU**, 0 rows ingested (corpus unchanged at 2,501)","[""repository/docs/MASTER-TABLE.md:144"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 149]"", ""repository/analysis/cN1_box_row24_score.py"", ""repository/analysis/cN2_box_row24_score.py"", ""repository/analysis/cO1_cfr1_score.py"", ""repository/analysis/cO2_cfr2_score.py""]"
MT147,Mechanism and isolation,Preserve peak and predict longer-horizon ranks,Five sampled cuts at 100/772 epochs on fresh seeds,mixed,Peak remains k49; none of three forecast rank swaps occurs.,Location prediction succeeds; its curve model fails.,"`cpk2`, 18 runs, 772 ep","[""repository/docs/MASTER-TABLE.md:147"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 158]"", ""repository/analysis/cR1_cpk2_score.py""]"
MT150,Mechanism and isolation,Localize peak and resolve tensor-class effects,Cuts k45 through k50 at 772 epochs on fresh seeds,mixed,Peak remains k49; observed class signs are perfectly aliased with index modulo three.,Localization succeeds; tensor-class mechanism remains unidentifiable.,"`cpk3`, 21 runs, 772 ep","[""repository/docs/MASTER-TABLE.md:150"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 161]"", ""repository/analysis/cS2_cpk3_score.py""]"
MT152,Mechanism and isolation,Separate tensor identity from ordinal position,Named-set permutations and tensor swaps versus equivalent prefix controls,unresolved,"CLASS-OPERATIVE is unreachable; data refute single-tensor additivity, leaving identity versus order unresolved.",A defective registered branch cannot support the intended mechanism.,"`cpr1`, 15 runs, 100 ep","[""repository/docs/MASTER-TABLE.md:152"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 164]"", ""repository/analysis/cV1_cpr1_score.py""]"
MT153,Mechanism and isolation,Separate contiguity effects from coarse parameter mass,"Co-grouping, holes, and an exact 3,956,288-parameter mass match",mixed,Coarse mass fails; the contiguity token remains confounded with tensor membership.,Mass is refuted; contiguity and a membership rival remain inseparable.,"`cpg1`, 15 runs, 100 ep","[""repository/docs/MASTER-TABLE.md:153"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 166, superseding 164.5]"", ""repository/analysis/cW1_cpg1_score.py""]"
MT156,Mechanism and isolation,Explain cliff amplification through reduction composition,Raw tensor sums versus per-tensor numel normalization at three cuts,mixed,One clean pair establishes composition sensitivity; amplified cliff also contains one-sided learning failure.,Only k49 avoids the failed-arm floor in both reductions.,"`crn1`, 18 runs, moved off `alice2` and re-submitted on `alice` with all 18 originals cancelled at **0 started, 0 rows**","[""repository/docs/MASTER-TABLE.md:156"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 169, 172, 173]"", ""repository/analysis/cX1_crn1_score.py""]"
MT157,Mechanism and isolation,Retain granularity benefits after independent stepsize tuning,Scalar/layerwise meta-stepsize ladders at two initial stepsizes,mixed,"At alpha0=1e-3, gap remains 35.2907 pp; alpha0=1e-6 optimum lies at ladder edge.",One stratum survives tuning; the other is unresolved.,"`cru1`, 60 runs, CIFAR-100/`ResNet18_c100`, 100 ep","[""repository/docs/MASTER-TABLE.md:157"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 168, 174; superseded in part 177, 180]"", ""repository/analysis/cY1_cru1_score.py""]"
MT160,Mechanism and isolation,Test element-count majority as the scalar sign driver,Proposed element fraction versus the actual scalar probe schema,unresolved,Scalar frac_neg describes one aggregate; no element-count statistic exists in the archived probes.,The proposed measure is tautological and cannot test element majority.,"**ZERO GPU**, registered then found unrunnable on the record","[""repository/docs/MASTER-TABLE.md:160"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 181, 183]"", ""repository/analysis/cHE1_hdominate_element_score.py""]"
MT162,Mechanism and isolation,Rescue learning and free the shared complement,"Three-carrier isolation, depth-confounded control, one-carrier isolation, and anchors",mixed,ISO rescues 46.9307 pp; registered result stays UNRESOLVED-PARTIAL because complement freedom fails.,"Accuracy rescues, while the full registered dynamics conjunction fails.","`ciso1`, 15 runs, 100 ep, ONE batch; ingest 2,746 -> 2,761 (added 15, changed 0, removed 0), 12.82 GPU-h","[""repository/docs/MASTER-TABLE.md:162"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 185, 187]"", ""repository/analysis/cIS1_ciso1_isolate_score.py""]"
MT165,Mechanism and isolation,Retain rescue after the complement meets pinning gate,Same-run isolation and anchor plateaus at 100/250 epochs,unresolved,"Rescue retention is 0.997737; exact-clamp occupancy fails, so the registered verdict remains unresolved.","Accuracy persists, but the scorer stops before its primary retention branch.","`ciso2`, 12 runs, **250 ep** (the corpus's FIRST 250-epoch rows), CIFAR-100/`ResNet18_c100`, ONE batch, FRESH seeds {31,32,33}; ingest 2,785 -> 2,797 (added 12, changed 0, removed 0); **21.65 GPU-h**, re-summed here over its own 12 `wallclock_min` values","[""repository/docs/MASTER-TABLE.md:165"", ""repository/docs/CORRECTIONS.md [CORRECTIONS 190 (registration), 196 (landing), 199 (reconciliation, gate defect re-derived independently)]"", ""repository/analysis/cIS2_ciso2_horizon_score.py""]"
CVK2,Mechanism and isolation,Test the predicted VGG cut location,Seven cuts plus scalar and layerwise controls,unresolved,"Cuts 16, 19, 22 share the peak set; prediction unresolved.",The registered separation bar leaves cut 22 tied with rivals.,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups.","[""CORRECTIONS208"", ""analysis/cVK2_vggcut_score.py""]"
