page,title,goal,comparison,why_test,status,scope,sources,file,kind,entry_ids
20,Rescue holds; pinning stays unresolved,Check long-run rescue and the strict pinning test.,Same ResNet runs: 100 vs 250 epochs,Test whether the rescue survives longer training.,mixed,Registered UNRESOLVED-NOT-PINNED. No RESCUE-SURVIVES verdict. Raw accuracy verified; occupancy tables are recorded evidence.,isolation_evidence.experiments.ciso2,figures/page-20.png,finding,MT165
21,The rescue repeats in VGG,Reproduce the rescue in another architecture.,Isolate bn8 vs matched bn7 in VGG11_bn,Check whether the effect extends beyond ResNet.,good,3 seeds per arm; only100epochs. VGG tuning untested. Magnitude not separated; superiority over layerwise not established.,isolation_evidence.experiments.cvi1,figures/page-21.png,finding,MT164; MT166
22,VGG cut location: completed test,Test whether the best cut sits before bn8.,VGG cut ladder: tensor boundary vs balance accounts,Separate explanations that overlapped on ResNet.,mixed,"VGG11_bn/CIFAR-100, augmented, 100 epochs, shared meta-step 1e-3; nine arms × three fresh seeds 55–57; one submission. Every sweep arm has exactly two contiguous tensor groups. Cell SD and SEM are empirical across three seeds. The registered peak set uses a common 2×SE bar with a frozen prior noise floor; it is not a simultaneous confidence interval. FINAL: UNRESOLVED-TIE-WITH-22 | CARRIER-CUT-UNRESOLVED | TIE-16-19-22 | GATES-CLEAN | ALIAS-CLASS-IS-INDEX-MOD-3 | MAGNITUDE-NOT-SEPARATED | HORIZON-100-ONLY | SHARED-MS-1E-3 | NOT-A-ONE-VARIABLE-ABLATION | SIGMA-NARROW-PINNED | TRAIN-ARGMAX-DISAGREES(22) | D22-16-TIED | CLIFF-IS-A-BOUND | GAP-REPLICATES-CVG1",CORRECTIONS208; frozen cVK2 scorer; new ALICE raw logs,figures/page-22.png,finding,CVK2
23,MetaOptimize loses to scheduled SGD,Beat a tuned non-meta optimizer.,MetaOptimize vs SGD + momentum + cosine schedule,Check whether the method offers a practical accuracy win.,bad,C100 one selected meta recipe; C10 two alpha0+clip recipes only. Unequal search breadth. No global optimum claim.,campaign_evidence.cifar100_denominator; unaugmented_cifar10_denominator,figures/page-23.png,finding,MT014; MT015; MT016; MT017; MT018; MT019; MT020; MT155
24,Baseline comparisons: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT014; MT015; MT016; MT017,figures/page-24.png,register,MT014; MT015; MT016; MT017
25,Baseline comparisons: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT018; MT019; MT020,figures/page-25.png,register,MT018; MT019; MT020
26,Step-size granularity: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT026; MT027; MT028; MT029,figures/page-26.png,register,MT026; MT027; MT028; MT029
27,Step-size granularity: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT030; MT031; MT033; MT034,figures/page-27.png,register,MT030; MT031; MT033; MT034
28,Training duration: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT039; MT040; MT041,figures/page-28.png,register,MT039; MT040; MT041
29,Initial-rate robustness: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT047; MT048; MT049; MT050,figures/page-29.png,register,MT047; MT048; MT049; MT050
30,Initial-rate robustness: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT051,figures/page-30.png,register,MT051
31,Model and dataset scope: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT057; MT058; MT059; MT060,figures/page-31.png,register,MT057; MT058; MT059; MT060
32,Model and dataset scope: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT061; MT062; MT063,figures/page-32.png,register,MT061; MT062; MT063
33,Proposed fixes: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT069; MT070; MT071; MT072,figures/page-33.png,register,MT069; MT070; MT071; MT072
34,Proposed fixes: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT073; MT074; MT075; MT076,figures/page-34.png,register,MT073; MT074; MT075; MT076
35,Proposed fixes: full register 3,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT077; MT078; MT079; MT080,figures/page-35.png,register,MT077; MT078; MT079; MT080
36,Meta-gradient measurements: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT086; MT087; MT088; MT089,figures/page-36.png,register,MT086; MT087; MT088; MT089
37,Meta-gradient measurements: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT090; MT091; MT092; MT093,figures/page-37.png,register,MT090; MT091; MT092; MT093
38,Meta-gradient measurements: full register 3,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT094; MT095; MT096; MT097,figures/page-38.png,register,MT094; MT095; MT096; MT097
39,Meta-gradient measurements: full register 4,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT098; MT099; MT100; MT102,figures/page-39.png,register,MT098; MT099; MT100; MT102
40,Meta-gradient measurements: full register 5,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT103,figures/page-40.png,register,MT103
41,Measurement checks: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT108; MT109; MT110; MT111,figures/page-41.png,register,MT108; MT109; MT110; MT111
42,Measurement checks: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT112; MT113; MT114; MT115,figures/page-42.png,register,MT112; MT113; MT114; MT115
43,Measurement checks: full register 3,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT116; MT117; MT118; MT119,figures/page-43.png,register,MT116; MT117; MT118; MT119
44,Measurement checks: full register 4,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT121; MT122; MT123; MT124,figures/page-44.png,register,MT121; MT122; MT123; MT124
45,Mechanism and isolation: full register 1,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT132; MT133; MT134; MT135,figures/page-45.png,register,MT132; MT133; MT134; MT135
46,Mechanism and isolation: full register 2,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT136; MT137; MT138; MT139,figures/page-46.png,register,MT136; MT137; MT138; MT139
47,Mechanism and isolation: full register 3,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT140; MT141; MT142; MT143,figures/page-47.png,register,MT140; MT141; MT142; MT143
48,Mechanism and isolation: full register 4,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT144; MT145; MT146; MT147,figures/page-48.png,register,MT144; MT145; MT146; MT147
49,Mechanism and isolation: full register 5,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT148; MT149; MT150; MT151,figures/page-49.png,register,MT148; MT149; MT150; MT151
50,Mechanism and isolation: full register 6,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT152; MT153; MT154; MT155,figures/page-50.png,register,MT152; MT153; MT154; MT155
51,Mechanism and isolation: full register 7,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT156; MT157; MT158; MT159,figures/page-51.png,register,MT156; MT157; MT158; MT159
52,Mechanism and isolation: full register 8,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT160; MT161; MT162; MT163,figures/page-52.png,register,MT160; MT161; MT162; MT163
53,Mechanism and isolation: full register 9,,,,overview,Full provenance and original questions are in tables/complete_experiment_register.csv.,MT164; MT165; MT166; CVK2,figures/page-53.png,register,MT164; MT165; MT166; CVK2
54,"Data, scope and reproducibility",,,,overview,"The complete register preserves original questions, short explanations, current status and exact source references.",all evidence JSONs; source_fingerprints.csv; new CVK2 receipt,figures/page-54.png,provenance,
