panel_id,occurrence_id,primary_cell_id,legacy_cell_id,cell_label,selection_context,source_pointer,inherited_context,batch_family_counts,excluded_duplicate_aliases,configuration
alpha0_robustness,OCC-ed97a5f1d24dd024,CELL-ed97f4c0e9062ec2,CELL-2048d6f286f0fe54,meta-3e-4,reported cell context,/panels/alpha0_robustness/cells/10,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""3e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-f11379db8ed56687,CELL-ea6353afa7675d65,CELL-c1c2413dcd4311eb,meta-1e-3,reported cell context,/panels/alpha0_robustness/cells/11,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-13f2a4d494ca1f11,CELL-8ccc2df44adc0911,CELL-2856ca3cba2ca925,meta-1e-2,reported cell context,/panels/alpha0_robustness/cells/12,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-2"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-28341680172bc77f,CELL-eb50663a49cb6f5a,CELL-33e0fcba28f12c78,meta-1e-1,reported cell context,/panels/alpha0_robustness/cells/13,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-1"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-7f1184083ee9e446,CELL-2523b35637d8b308,CELL-f3948571f3c1dac7,cosine-1e-6,reported cell context,/panels/alpha0_robustness/cells/14,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-6"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-4ee0cfd44cf6aa8d,CELL-8722d1c3efac2b0f,CELL-cea4b410e92c4aa8,cosine-1e-5,reported cell context,/panels/alpha0_robustness/cells/15,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-5"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-bb237e015f669b9e,CELL-45fb5b59171ddf65,CELL-06ad594d90ac78c0,cosine-1e-4,reported cell context,/panels/alpha0_robustness/cells/16,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-bb576a6c3797338b,CELL-61a0e5fb45192ef0,CELL-7d7af39dbcf83bb2,cosine-3e-4,reported cell context,/panels/alpha0_robustness/cells/17,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""3e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-f6dc4e0155132142,CELL-fc8dc18df305f9ca,CELL-1c844fe85a2f7182,cosine-1e-3,reported cell context,/panels/alpha0_robustness/cells/18,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-9235134025cc51ce,CELL-251f24dc1cb619a6,CELL-9f5ada207a5ae8ca,cosine-1e-2,reported cell context,/panels/alpha0_robustness/cells/19,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-2"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-c62cfc4c5902f074,CELL-6a58b30bc634657f,CELL-e8a351e27b79b054,cosine-1e-1,reported cell context,/panels/alpha0_robustness/cells/20,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-1"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-c4fba16063664c20,CELL-28ab05bc7a1d30be,CELL-198b4c6437ad1820,ResNet18|CIFAR10|100|?|AdamW|?||1e-1|1|1|none||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/0,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3a300"":2}",,"{""alpha0"":""1e-1"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-086fd09468c4aba2,CELL-b1a85f9b8cd302a5,CELL-f0dc4d126afab1a2,ResNet18|CIFAR10|100|?|AdamW|?||1e-2|1|1|none||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/1,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3a300"":2}",,"{""alpha0"":""1e-2"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-c6ee2b0f45a0fa69,CELL-28edb9c4aa593a22,CELL-5134aade89cbb328,ResNet18|CIFAR10|100|?|AdamW|?||1e-5|1|1|none||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/2,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3a300"":2}",,"{""alpha0"":""1e-5"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-7050e03770ddf336,CELL-887d602605960b35,CELL-ddbf6a28000c5ed7,ResNet18|CIFAR10|100|?|AdamW|?||1e-6|1|1|none||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/3,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3a300"":2}",,"{""alpha0"":""1e-6"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-1c407094ffcc15fa,CELL-1b872896c7d1b435,CELL-106ae42150cee7c5,ResNet18|CIFAR10|100|resnet18_blocks|AdamW|Adam|1e-3|1e-1|1|1|-15:-2.3026||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/4,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3b300"":2}",,"{""alpha0"":""1e-1"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-e3205e3393eb8ce0,CELL-034736797ea8951f,CELL-93635079899103be,ResNet18|CIFAR10|100|resnet18_blocks|AdamW|Adam|1e-3|1e-2|1|1|-15:-2.3026||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/5,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3b300"":2}",,"{""alpha0"":""1e-2"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_300_extremes,OCC-08e2800240886171,CELL-164a6ad9723388e6,CELL-2af3f7d8523464bc,ResNet18|CIFAR10|100|resnet18_blocks|AdamW|Adam|1e-3|1e-5|1|1|-15:-2.3026||na|na|300,reported cell context,/panels/alpha0_300_extremes/cells/6,"{""scope"":""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""}","{""i3b300"":2}",,"{""alpha0"":""1e-5"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""300"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
