contrast_id,panel_id,source_pointer,a,b,a_cell_id,b_cell_id,metric,units,direction,comparison_kind,end_epoch_index_exclusive,inherited_context,reported_fields,difference_pp,n_pairs,sd_pp,empirical_se_pp,registered_se_pp,registered_se_units,uncertainty_kind,a_n,b_n
CONTRAST-6b99a7cc626962ae,horizon_reversal,/panels/horizon_reversal/individually_tuned/0/node_minus_lay,nodewise,layerwise,CELL-d5963c745ed6c0b1,CELL-f055986191c7e54d,plateau5_difference,percentage_points,a minus b,unpaired,10,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":3.444400000000009,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.3309316545753819}",3.444400000000009,,,0.3309316545753819,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-420d90f0f31b5c77,horizon_reversal,/panels/horizon_reversal/individually_tuned/1/node_minus_lay,nodewise,layerwise,CELL-7b4d7f9073d27091,CELL-99c90e23afde7a4e,plateau5_difference,percentage_points,a minus b,unpaired,20,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":1.3491999999999962,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.22208556909443833}",1.3491999999999962,,,0.22208556909443833,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-986a7111319b8d90,horizon_reversal,/panels/horizon_reversal/individually_tuned/2/node_minus_lay,nodewise,layerwise,CELL-954feb9826142daf,CELL-792db9756756ce80,plateau5_difference,percentage_points,a minus b,unpaired,30,"{""end_epoch"":30,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.7844000000000051,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.2876987313145488}",0.7844000000000051,,,0.2876987313145488,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-4cb28d6a506a76f7,horizon_reversal,/panels/horizon_reversal/individually_tuned/3/node_minus_lay,nodewise,layerwise,CELL-8fad9c5535b77e30,CELL-d695d18070ee6e88,plateau5_difference,percentage_points,a minus b,unpaired,40,"{""end_epoch"":40,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.6700000000000017,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.166734279618801}",0.6700000000000017,,,0.166734279618801,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-0a3383a37d747065,horizon_reversal,/panels/horizon_reversal/individually_tuned/4/node_minus_lay,nodewise,layerwise,CELL-b9c5bbcf20f83a0f,CELL-1d2117907de253c9,plateau5_difference,percentage_points,a minus b,unpaired,50,"{""end_epoch"":50,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.39279999999999404,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.12432666648792756}",0.39279999999999404,,,0.12432666648792756,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-6de118be05fe4e46,horizon_reversal,/panels/horizon_reversal/individually_tuned/5/node_minus_lay,nodewise,layerwise,CELL-caabab29e598a4b9,CELL-685b930d8ab522f9,plateau5_difference,percentage_points,a minus b,unpaired,60,"{""end_epoch"":60,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.16159999999999286,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.19254713708596194}",0.16159999999999286,,,0.19254713708596194,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-0c60277fcf40351d,horizon_reversal,/panels/horizon_reversal/individually_tuned/6/node_minus_lay,nodewise,layerwise,CELL-b8b7cddac74e9593,CELL-388b17358f1f85f7,plateau5_difference,percentage_points,a minus b,unpaired,70,"{""end_epoch"":70,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":-0.17560000000000286,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.1139038190755682}",-0.17560000000000286,,,0.1139038190755682,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-9c283c95e0e62fe6,horizon_reversal,/panels/horizon_reversal/individually_tuned/7/node_minus_lay,nodewise,layerwise,CELL-4a83b47b29fb0c37,CELL-434ddd099c081c2f,plateau5_difference,percentage_points,a minus b,unpaired,80,"{""end_epoch"":80,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":-0.49280000000000257,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.1392422349720071}",-0.49280000000000257,,,0.1392422349720071,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-27beca8323649bff,horizon_reversal,/panels/horizon_reversal/individually_tuned/8/node_minus_lay,nodewise,layerwise,CELL-a2be1fec182a416d,CELL-b6ea1ccb412172b0,plateau5_difference,percentage_points,a minus b,unpaired,90,"{""end_epoch"":90,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":-0.26959999999999695,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.12690941651429852}",-0.26959999999999695,,,0.12690941651429852,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-69915405e13c9412,horizon_reversal,/panels/horizon_reversal/individually_tuned/9/node_minus_lay,nodewise,layerwise,CELL-9957660e1f91f231,CELL-c864afb28e409a74,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""end_epoch"":100,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":-0.3603999999999985,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.1552597823005036}",-0.3603999999999985,,,0.1552597823005036,,,"unpaired cell SEM; registered SE, if present, is separate",5,5
CONTRAST-40ada42f555a9803,original_proposal_and_joint_tuning,/panels/original_proposal_and_joint_tuning/g4m/interior_lift,g4m-r006-m1e3,g4m-r0-m1e3,CELL-2c87bdcec97d2251,CELL-b011476ad4a58d6d,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""caveat"":""A local additive-operator benefit at alpha0=1e-6; does not validate the original two-level proposal or beat a tuned non-meta baseline."",""historical_source"":""docs/MAIN-IDEA-REPORT.md introduction; superseded conclusions corrected by MASTER-TABLE section9 and CORRECTIONS141.1."",""proposal"":""Learn shared and group-specific log step sizes jointly (beta_g = s + d_g); shrink deviations toward the shared scalar, seeking a stable interpolation between scalar and layerwise adaptation."",""token"":""REFUTED refers to the hypothesis that r is merely a meta-step dial, not to the existence of the r-peak.""}","{""a"":""g4m-r006-m1e3"",""b"":""g4m-r0-m1e3"",""difference_pp"":0.8213333333333281,""empirical_unpaired_seed_se"":0.07992774514800317,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",0.8213333333333281,,,0.07992774514800317,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-a2ff741241c4170b,original_proposal_and_joint_tuning,/panels/original_proposal_and_joint_tuning/twolevel/alpha0_1e6_peak,tl1-a6-r01,tl1-a6-plain,CELL-f68f24f3ed9717a8,CELL-ea1ad86ab060e967,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""caveat"":""Fresh local score verifies endpoint arithmetic/ARGS/ENV; missing local tl1 probe files leave mechanism-spread gate unverified in this rerun. Historical record reports NULL."",""definition"":""PEAK=max(mean plateau5 over partial rho0.03/0.1/0.3)-max(mean over rho0/rho1/plain)."",""historical_source"":""docs/MAIN-IDEA-REPORT.md introduction; superseded conclusions corrected by MASTER-TABLE section9 and CORRECTIONS141.1."",""proposal"":""Learn shared and group-specific log step sizes jointly (beta_g = s + d_g); shrink deviations toward the shared scalar, seeking a stable interpolation between scalar and layerwise adaptation."",""token"":""NULL at both alpha0""}","{""a"":""tl1-a6-r01"",""b"":""tl1-a6-plain"",""difference_pp"":-0.2526666666666699,""empirical_unpaired_seed_se"":0.1159789252886558,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",-0.2526666666666699,,,0.1159789252886558,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-2e6be5b5cb0d4169,original_proposal_and_joint_tuning,/panels/original_proposal_and_joint_tuning/twolevel/alpha0_1e3_peak,tl1-a3-r01,tl1-a3-plain,CELL-a12599de7b4e527f,CELL-80fec0ed3685a642,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""caveat"":""Fresh local score verifies endpoint arithmetic/ARGS/ENV; missing local tl1 probe files leave mechanism-spread gate unverified in this rerun. Historical record reports NULL."",""definition"":""PEAK=max(mean plateau5 over partial rho0.03/0.1/0.3)-max(mean over rho0/rho1/plain)."",""historical_source"":""docs/MAIN-IDEA-REPORT.md introduction; superseded conclusions corrected by MASTER-TABLE section9 and CORRECTIONS141.1."",""proposal"":""Learn shared and group-specific log step sizes jointly (beta_g = s + d_g); shrink deviations toward the shared scalar, seeking a stable interpolation between scalar and layerwise adaptation."",""token"":""NULL at both alpha0""}","{""a"":""tl1-a3-r01"",""b"":""tl1-a3-plain"",""difference_pp"":-0.8193333333333328,""empirical_unpaired_seed_se"":0.12043070852384652,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",-0.8193333333333328,,,0.12043070852384652,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-2ada5629f8020ca0,original_proposal_and_joint_tuning,/panels/original_proposal_and_joint_tuning/empirical_bayes/primary,eb1-ebjs,eb1-a1,CELL-060db8216901f6e2,CELL-c5ba43887578d8c9,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""definition"":""LIFT=mean(ebjs)-mean(additive r=1), 3seeds each; simultaneous GAP to tuned r0.06 must also be<=0.58 for success."",""failure_threshold_pp"":0.3,""historical_source"":""docs/MAIN-IDEA-REPORT.md introduction; superseded conclusions corrected by MASTER-TABLE section9 and CORRECTIONS141.1."",""proposal"":""Learn shared and group-specific log step sizes jointly (beta_g = s + d_g); shrink deviations toward the shared scalar, seeking a stable interpolation between scalar and layerwise adaptation."",""success_threshold_pp"":1.16,""token"":""FAILURE""}","{""a"":""eb1-ebjs"",""b"":""eb1-a1"",""difference_pp"":0.041333333333327005,""empirical_unpaired_seed_se"":0.11087931377052442,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",0.041333333333327005,,,0.11087931377052442,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-c157b055fa163cda,cau1,/panels/cau1/contrast,cau1-lr02,cau1-m6t,CELL-3177e994988dc934,CELL-70b669851255fdcc,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""registered_token"":""DEFICIT-HOLDS | LADDER:INTERIOR | M*=m6t | SIGMA-PRIOR-DOMINATES | CURVE-DEFICIT | TRAIN-AT-CEILING | ONE-BASELINE-FAMILY | COUNTERWEIGHT-NOT-TESTED | ALPHA0-TWO-CELLS | CIFAR10-ONLY"",""scope"":""ResNet18/CIFAR10, AUGMENT=0, 100ep, batch100, fresh seeds50/51/52, one27-run batch. Reproduced read-only Sep14; ingest remains uncommitted."",""source"":""analysis/cAU1_unaug_denominator_score.py; CORRECTIONS202 registration and206 launch; original raw outputs+PROVENANCE+runtime witnesses; independent arithmetic in this work script""}","{""a"":""cau1-lr02"",""b"":""cau1-m6t"",""difference_pp"":3.6173333333333204,""empirical_unpaired_seed_se"":0.27894643054018553,""positive_means"":""first named arm minus second named arm"",""registered_se"":0.3647902599439848,""registered_se_units"":9.916200432239552}",3.6173333333333204,,,0.27894643054018553,0.3647902599439848,9.916200432239552,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-d9877b715ea520df,cau1,/panels/cau1/parent_config_contrast,cau1-lr02,cau1-m6,CELL-3177e994988dc934,CELL-fae9b87c606f924e,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""registered_token"":""DEFICIT-HOLDS | LADDER:INTERIOR | M*=m6t | SIGMA-PRIOR-DOMINATES | CURVE-DEFICIT | TRAIN-AT-CEILING | ONE-BASELINE-FAMILY | COUNTERWEIGHT-NOT-TESTED | ALPHA0-TWO-CELLS | CIFAR10-ONLY"",""scope"":""ResNet18/CIFAR10, AUGMENT=0, 100ep, batch100, fresh seeds50/51/52, one27-run batch. Reproduced read-only Sep14; ingest remains uncommitted."",""source"":""analysis/cAU1_unaug_denominator_score.py; CORRECTIONS202 registration and206 launch; original raw outputs+PROVENANCE+runtime witnesses; independent arithmetic in this work script""}","{""a"":""cau1-lr02"",""b"":""cau1-m6"",""difference_pp"":15.115999999999985,""empirical_unpaired_seed_se"":0.43114524492590994,""positive_means"":""first named arm minus second named arm"",""registered_se"":0.3647902599439848,""registered_se_units"":41.437509878474046}",15.115999999999985,,,0.43114524492590994,0.3647902599439848,41.437509878474046,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-3bad67aeaf9c738a,cdn1,/panels/cdn1/contrast,cdn1-lr01,cdn1-m,CELL-e35c69e1d77d5851,CELL-e52a8eaeb52a6230,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""baseline_recipe"":""SGD momentum0.9 wd5e-4, cosine warmup1000 total50000; 200ep total100000."",""meta_recipe"":""SGDm base / Lion meta, chunk771, ms1e-4, alpha0=1e-3, beta clip -15:-2.3026; in-batch replicate of historical gm2-ch best cell."",""registered_token"":""BELOW-BY-A-LOT; USABLE"",""scope"":""ResNet18_c100, CIFAR100, AUGMENT=1, batch100, 100ep, 3 seeds/arm, one batch. SGD ladder [0.01,0.02,0.05,0.1,0.2,0.3]; 200ep SGD is separate secondary."",""source"":""analysis/cdn2_denominator_score.py; CORRECTIONS 171,175; MASTER-TABLE row155""}","{""a"":""cdn1-lr01"",""b"":""cdn1-m"",""difference_pp"":5.699333333333328,""empirical_unpaired_seed_se"":0.24950796023819277,""positive_means"":""first named arm minus second named arm"",""registered_se"":0.3032,""registered_se_units"":18.79727352682496}",5.699333333333328,,,0.24950796023819277,0.3032,18.79727352682496,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-5a96e0dff85580b2,count_matched_four_submissions,/panels/count_matched_four_submissions/submissions/0/contrast,cc1:chunk777,cc1:nodewise,CELL-946ca8febf9d0719,CELL-fe4bb2149a479967,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""batch"":""cc1"",""metric"":""PRIMARY plateau5, chunk777 minus nodewise, in percentage points."",""scope"":""R18/C10 SGDm/Lion, alpha0=1e-3, ms=1e-4, 100 epochs. Group count is approximately matched: nodewise14420 versus chunk77714421 (difference one group, not byte-identical group count)."",""uncertainty"":""Each contrast uses unpaired empirical cell SEM sqrt(sd_chunk²/n_chunk+sd_node²/n_node). Four submissions share seed labels: cc1{3,4,5}; mm1/pp1{0,1,2}; gn1{0,1,2,3}. At most two submissions have mutually disjoint seed sets; do not present four independent replications or an independent pooled SEM.""}","{""a"":""cc1:chunk777"",""b"":""cc1:nodewise"",""difference_pp"":0.7266666666666737,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.2000611017775436}",0.7266666666666737,,,0.2000611017775436,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
