panel_id,source_pointer,value_type,value
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/difference_pp,float,47.46066666666666
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/empirical_unpaired_seed_se,float,0.41997883544557657
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/registered_se,NoneType,
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/registered_se_units,NoneType,
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/token,str,1e-3:GAP-SHRINKS;1e-6:UNRESOLVED-OPTIMUM-AT-LADDER-EDGE;ALIAS-BROKEN
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/scope,str,"ResNet18_c100/CIFAR100,AUGMENT1,100ep,3freshseeds15-17/cell. Main plot uses alpha0=1e-3 only."
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/caveats/0,str,"At alpha0=1e-6 scalar optimum is at ladder edge, so no analogous tuned conclusion."
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/caveats/1,str,Does not refute hz9: different dataset and contrast.
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/caveats/2,str,F-control fails but its presumed frozen-beta interpretation was false; no non-adaptation mechanism claim.
granularity_dataset_network_extensions,/panels/granularity_dataset_network_extensions/scope_notes/0,str,TinyImageNet positive gap+40.9753 is same shared ms1e-3 and alpha01e-6; not separately tuned on target dataset.
granularity_dataset_network_extensions,/panels/granularity_dataset_network_extensions/scope_notes/1,str,VGG11_bn/CIFAR100 100ep gap+31.2687 is non-residual but still BatchNorm; multi-axis architecture change. Target-network ms optima are not located.
full_granularity_ladder,/panels/full_granularity_ladder/scope,str,"Current complete canonical C10 SGDm/Lion a0=1e-3 corpus, cQ1 selection with explicitly flagged duplicate aliases collapsed; descriptive multi-batch cells. This changes nodewise1e-4 n32 to n29 but not the selected peak. Each peak selected over available canonical rungs, not a new registered comparison. Means differ from frozen old tables as the corpus grew."
full_granularity_ladder,/panels/full_granularity_ladder/caveats/0,str,Cross-family and unbalanced cell composition means cell SEM alone cannot rank small differences.
full_granularity_ladder,/panels/full_granularity_ladder/caveats/1,str,Some above-peak rungs have n=1; endpoints and sampled curves do not prove a global optimum.
full_granularity_ladder,/panels/full_granularity_ladder/caveats/2,str,"Canonical clamp box remains; at1 nodewise@3e-4 touches the lower bound, unlike tw0@1e-4."
full_granularity_ladder,/panels/full_granularity_ladder/caveats/3,str,"Historical frozen-beta ms1e-8 is only an approximation, not proof of no beta motion."
full_granularity_ladder,/panels/full_granularity_ladder/source_refs/0/path,str,repository/analysis/cQ1_row24_falloff_score.py
full_granularity_ladder,/panels/full_granularity_ladder/source_refs/0/line,int,90
full_granularity_ladder,/panels/full_granularity_ladder/source_refs/0/section,NoneType,
full_granularity_ladder,/panels/full_granularity_ladder/source_refs/1/path,str,publication-workspace/work/full_portfolio_falloff_score.txt
weightwise_tuning,/panels/weightwise_tuning/registered_result,str,"W2 REFUTED; grid argmax interior by W1b, but W1 peak location UNDECIDED. Never call 1e-4 the resolved optimum."
weightwise_tuning,/panels/weightwise_tuning/guard_result,str,"tw0 100-epoch follow-up reports zero recorded occupancy in all 9 runs; closes wm9’s short-budget guard extrapolation, CORRECTIONS104.2."
weightwise_tuning,/panels/weightwise_tuning/source_refs/0/path,str,repository/docs/CORRECTIONS.md
weightwise_tuning,/panels/weightwise_tuning/source_refs/0/line,int,4853
weightwise_tuning,/panels/weightwise_tuning/source_refs/0/section,str,103.2
weightwise_tuning,/panels/weightwise_tuning/source_refs/1/path,str,repository/docs/CORRECTIONS.md
weightwise_tuning,/panels/weightwise_tuning/source_refs/1/line,int,4988
weightwise_tuning,/panels/weightwise_tuning/source_refs/1/section,str,104.2
horizon_reversal,/panels/horizon_reversal/shared_ms/0/end_epoch,int,10
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/0/node_minus_lay,float,-4.195999999999998
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/1/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/1/node_minus_lay,float,-3.451999999999998
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/2/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/2/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/2/node_minus_lay,float,-4.078000000000003
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/3/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/3/seed,int,3
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/3/node_minus_lay,float,-3.2660000000000053
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/4/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/4/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/4/node_minus_lay,float,-5.219999999999999
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/5/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/5/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/5/node_minus_lay,float,-4.52000000000001
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/6/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/6/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/0/paired_within_family_differences/6/node_minus_lay,float,-2.891999999999996
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/n,int,7
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/mean,float,-3.9462857142857155
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/sd,float,0.8010230363490844
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/sem,float,0.3027582498019328
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/min,float,-5.219999999999999
horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay/max,float,-2.891999999999996
horizon_reversal,/panels/horizon_reversal/shared_ms/1/end_epoch,int,15
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/0/node_minus_lay,float,-1.5999999999999943
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/1/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/1/node_minus_lay,float,-1.0300000000000011
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/2/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/2/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/2/node_minus_lay,float,-1.5300000000000011
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/3/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/3/seed,int,3
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/3/node_minus_lay,float,-1.2780000000000058
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/4/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/4/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/4/node_minus_lay,float,-0.9639999999999986
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/5/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/5/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/5/node_minus_lay,float,-0.9519999999999982
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/6/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/6/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/1/paired_within_family_differences/6/node_minus_lay,float,-1.0020000000000095
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/n,int,7
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/mean,float,-1.193714285714287
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/sd,float,0.2768909016717063
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/sem,float,0.10465492373139623
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/min,float,-1.5999999999999943
horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay/max,float,-0.9519999999999982
horizon_reversal,/panels/horizon_reversal/shared_ms/2/end_epoch,int,20
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/0/node_minus_lay,float,-0.09999999999999432
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/1/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/1/node_minus_lay,float,0.055999999999997385
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/2/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/2/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/2/node_minus_lay,float,0.4660000000000082
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/3/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/3/seed,int,3
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/3/node_minus_lay,float,-0.19400000000000261
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/4/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/4/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/4/node_minus_lay,float,-0.38400000000001455
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/5/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/5/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/5/node_minus_lay,float,0.24400000000001398
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/6/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/6/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/2/paired_within_family_differences/6/node_minus_lay,float,0.1599999999999966
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/n,int,7
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/mean,float,0.03542857142857209
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/sd,float,0.2862789182731118
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/sem,float,0.10820326047874833
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/min,float,-0.38400000000001455
horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay/max,float,0.4660000000000082
horizon_reversal,/panels/horizon_reversal/shared_ms/3/end_epoch,int,25
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/0/node_minus_lay,float,0.4679999999999893
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/1/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/1/node_minus_lay,float,0.5039999999999907
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/2/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/2/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/2/node_minus_lay,float,0.6760000000000019
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/3/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/3/seed,int,3
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/3/node_minus_lay,float,0.5099999999999909
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/4/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/4/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/4/node_minus_lay,float,0.5579999999999927
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/5/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/5/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/5/node_minus_lay,float,1.2139999999999986
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/6/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/6/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/3/paired_within_family_differences/6/node_minus_lay,float,1.141999999999996
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/n,int,7
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/mean,float,0.7245714285714229
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/sd,float,0.31738875066331645
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/sem,float,0.11996167188351742
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/min,float,0.4679999999999893
horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay/max,float,1.2139999999999986
horizon_reversal,/panels/horizon_reversal/shared_ms/4/end_epoch,int,30
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/0/node_minus_lay,float,1.181999999999988
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/1/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/1/node_minus_lay,float,1.0300000000000011
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/2/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/2/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/2/node_minus_lay,float,1.0339999999999918
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/3/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/3/seed,int,3
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/3/node_minus_lay,float,0.9060000000000059
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/4/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/4/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/4/node_minus_lay,float,0.681999999999988
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/5/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/5/seed,int,1
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/5/node_minus_lay,float,1.3599999999999994
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/6/family,str,bl5
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/6/seed,int,2
horizon_reversal,/panels/horizon_reversal/shared_ms/4/paired_within_family_differences/6/node_minus_lay,float,1.2719999999999914
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/n,int,7
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/mean,float,1.0665714285714236
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/sd,float,0.23010929080392628
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/sem,float,0.086973136833233
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/min,float,0.681999999999988
horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay/max,float,1.3599999999999994
horizon_reversal,/panels/horizon_reversal/shared_ms/5/end_epoch,int,40
horizon_reversal,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/0/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/0/seed,int,0
horizon_reversal,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/0/node_minus_lay,float,1.2860000000000014
horizon_reversal,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/1/family,str,br6
horizon_reversal,/panels/horizon_reversal/shared_ms/5/paired_within_family_differences/1/seed,int,1
