collection,panel_id,panel_title,entry_ids,metric,units,scope,notes,evidence_level,panel_source_ids,evidence_file,evidence_json_pointer,exported,file_count,total_data_rows,filenames
mechanism,contiguity_mass,Coarse mass fails; contiguity remains confounded,MT153 | MT154,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638","cpg1 kG and cpr1 kS both have3,956,288parameters in the coarse group. | That exact-mass comparison is CROSS-BATCH; show the batch labels. | CONTIGUITY-OPERATIVE remains observationally equivalent to a tensor-membership rival.",raw epoch reconstruction,S0341 | S0342 | S0343 | S0344 | S0345,publication-workspace/work/full_mechanism_evidence.json,/panels/contiguity_mass,true,3,1824,mechanism__contiguity_mass__arm_summary.csv | mechanism__contiguity_mass__per_seed.csv | mechanism__contiguity_mass__epoch_curves.csv
mechanism,clamp_cliff,The k49/k50 cliff survives clamp release,MT143,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cts2`, 12 runs, 100 ep","C:canonical clamp; R:released lower rail with the registered upper rail unchanged. | Cliff sizes k49−k50:25.1627pp clamped,24.7673pp released; interaction+.3953pp.",raw epoch reconstruction,S0358 | S0359 | S0360,publication-workspace/work/full_mechanism_evidence.json,/panels/clamp_cliff,true,3,1216,mechanism__clamp_cliff__arm_summary.csv | mechanism__clamp_cliff__per_seed.csv | mechanism__clamp_cliff__epoch_curves.csv
mechanism,legacy_clamp_controls,Why the old released controls did not settle the question,MT144,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cN1`/`cN2`, **ZERO GPU**, 0 rows ingested (corpus unchanged at 2,501)","tc1 cells VOID-OCCUPANCY; fine arms still hit the lowered wall. | ub9 is augment0; contrast withPP/pp is cross-batch/account and moves both rails. | Use as an audit table, not a clean causal clamp estimate.",raw epoch reconstruction,S0400 | S0401 | S0402 | S0403 | S0404 | S0405,publication-workspace/work/full_mechanism_evidence.json,/panels/legacy_clamp_controls,true,3,3954,mechanism__legacy_clamp_controls__arm_summary.csv | mechanism__legacy_clamp_controls__per_seed.csv | mechanism__legacy_clamp_controls__epoch_curves.csv
mechanism,later_floor_release,Later within-batch floor-release controls,MT144,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cN1`/`cN2`, **ZERO GPU**, 0 rows ingested (corpus unchanged at 2,501)","CIFAR-10, alpha0=1e-3; cfr1 meta-stepsize1e-3, cfr2 meta-stepsize3e-4. | Only lower rail changes:-15→-80; upper rail stays-2.3026. | cfr1 DID+.0320pp; cfr2 DID−.3240pp. cfr2 constrains rather than eliminates clamp contribution.",raw epoch reconstruction,S0400 | S0401 | S0402 | S0403 | S0404 | S0405,publication-workspace/work/full_mechanism_evidence.json,/panels/later_floor_release,true,3,2432,mechanism__later_floor_release__arm_summary.csv | mechanism__later_floor_release__per_seed.csv | mechanism__later_floor_release__epoch_curves.csv
mechanism,reduction_composition,Per-tensor reweighting changes learning,MT156,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`crn1`, 18 runs, moved off `alice2` and re-submitted on `alice` with all 18 originals cancelled at **0 started, 0 rows**",tn: computes sum_i(z_i/numel_i) inside each group. It is a deliberate change of the estimator. | Only k49/k49n is a clean above-floor pair; k50n failure can amplify the apparent cliff.,raw epoch reconstruction,S0448 | S0449 | S0450,publication-workspace/work/full_mechanism_evidence.json,/panels/reduction_composition,true,5,1828,mechanism__reduction_composition__arm_summary.csv | mechanism__reduction_composition__per_seed.csv | mechanism__reduction_composition__epoch_curves.csv | mechanism__reduction_composition__contrasts.csv | mechanism__reduction_composition__paired_seed_contrasts.csv
mechanism,alpha0_confound,Matched alpha0 contrasts preserve ordering,MT149,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cU1`, **ZERO GPU**, corpus unchanged at 2,573",Keep batches separate; c100 has2seeds/cell andc100b3. | Retrospective cU1 averages batch means equally; do not accidentally sample-weight2versus3. | cU1 TRAIN companion uses final_train; raw TRAIN plateau5 here is a separately labeled companion.,raw epoch reconstruction,S0481 | S0482 | S0483,publication-workspace/work/full_mechanism_evidence.json,/panels/alpha0_confound,true,3,3042,mechanism__alpha0_confound__arm_summary.csv | mechanism__alpha0_confound__per_seed.csv | mechanism__alpha0_confound__epoch_curves.csv
mechanism,individual_meta_step_tuning,Granularity after individual meta-stepsize tuning,MT157 | MT158,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cru1`, 60 runs, CIFAR-100/`ResNet18_c100`, 100 ep | `cms1`, **ZERO GPU**, corpus unchanged at 2,740","Separate alpha0 strata. At1e-3, own-tuned gap35.2907pp vs shared1e-3gap47.4607pp. | Atalpha0=1e-6, layerwise optimum is at the largest tested meta-stepsize; no closed optimum. | No F=frozen-beta mechanism claim: raw probes show movement.",raw epoch reconstruction,S0544 | S0545 | S0546 | S0547 | S0548 | S0549,publication-workspace/work/full_mechanism_evidence.json,/panels/individual_meta_step_tuning,true,3,6080,mechanism__individual_meta_step_tuning__arm_summary.csv | mechanism__individual_meta_step_tuning__per_seed.csv | mechanism__individual_meta_step_tuning__epoch_curves.csv
mechanism,tuned_cifar100_denominator,Tuned SGD exceeds the tested MetaOptimize arm,MT155,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cdn1`, 24 runs, CIFAR-100/`ResNet18_c100`, 100 ep (plus 200 ep), ONE batch so every contrast is WITHIN batch",Separate100- and200-epoch budgets. | cdn1 h2 at100 follows a200-epoch cosine schedule and is not the100-epochlr=.1control. | Frozen broken scorer cdn1 is succeeded by registeredcdn2.,raw epoch reconstruction,S0574 | S0575 | S0576 | S0577,publication-workspace/work/full_mechanism_evidence.json,/panels/tuned_cifar100_denominator,true,3,2732,mechanism__tuned_cifar100_denominator__arm_summary.csv | mechanism__tuned_cifar100_denominator__per_seed.csv | mechanism__tuned_cifar100_denominator__epoch_curves.csv
mechanism,sign_disagreement,Disagreement does not locate the accuracy peak,MT159,Fraction of reconstructed100-meta-step windows,test accuracy percent; differences and SD/SE in percentage points,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested","Rates are WINDOW rates, not per-step rates. | Virtual regrouping of layerwise dynamics is distinct from running eachm=2partition. | Do not claim global monotonicity; terminalk61rebounds. | SEEDS-DISAGREE means seeds disagree with the predicted location. | The retrospective primary at its original registration uses onlycru1seeds15–17. Do not silently add laterctd1/ciso1probes when reproducing the historical claim.",independent raw reconstruction from retrieved historical cru1 layerwise probes; no scorer imported or executed,S0581 | S0582 | S0583 | S0584,publication-workspace/work/full_mechanism_evidence.json,/panels/sign_disagreement,true,8,614,mechanism__sign_disagreement__full_61_cut_curve.csv | mechanism__sign_disagreement__full_61_cut_per_seed.csv | mechanism__sign_disagreement__documented_11_cut_values.csv | mechanism__sign_disagreement__documented_11_cut_per_seed.csv | mechanism__sign_disagreement__historical_narrative_points.csv | mechanism__sign_disagreement__location_statistics.csv | mechanism__sign_disagreement__true_m2_crosscheck_61_cuts.csv | mechanism__sign_disagreement__true_m2_crosscheck_summary.csv
mechanism,tensor_sign_carriers,Three BN scales reverse the scalar update vote,MT161,Per-tensor Lion direction L_i=.9*m_i+.1*z_i on pinned scalar records,test accuracy percent; differences and SD/SE in percentage points,"`ctd1`, 6 runs, 100 ep","PositiveL lowers beta; negativeL raises beta. | Bars summarize per-seed mean signedL during each seed’s pinned phase; do not use individual probe records as independent replicate seeds. | Named conv/head candidates vote up; the discoveredBNscales vote down. | Three carriers determine the remaining-sign intervention on all pinned records, but strict domination over sum(abs(otherterms)) is not literally100%. | Tensor indices are1-based here; the archivedATTACK_REPORT finaltensor listing uses0-based indices.",raw epoch reconstruction,S0593 | S0594 | S0595 | S0596,publication-workspace/work/full_mechanism_evidence.json,/panels/tensor_sign_carriers,true,6,2496,mechanism__tensor_sign_carriers__pinned_tensor_summary.csv | mechanism__tensor_sign_carriers__per_seed_tensor_phases.csv | mechanism__tensor_sign_carriers__scalar_timelines.csv | mechanism__tensor_sign_carriers__scalar_seed_summary.csv | mechanism__tensor_sign_carriers__layerwise_own_beta.csv | mechanism__tensor_sign_carriers__pooled_summary.csv
mechanism,rate_shape_documented,"k50 and k52 differ in shape, not only timescale",MT148,Documented rate-shape fit summaries,test accuracy percent; differences and SD/SE in percentage points,"`cS1`, **ZERO GPU**, nothing submitted or ingested",Reportedfitparameters are not true asymptotes or mechanistic explanations. | DocumentedtauSD is across3seeds. No invented uncertainties for printedrho.,documented retrospective scorer output; raw accuracy curves are available in batches.cpk2,S0597 | S0598 | S0599 | S0600,publication-workspace/work/full_mechanism_evidence.json,/panels/rate_shape_documented,true,3,4636,mechanism__rate_shape_documented__fit_summary.csv | mechanism__rate_shape_documented__registered_shape_contrast.csv | mechanism__rate_shape_documented__raw_epoch_curves.csv
measurement,sign_null,The sign-agreement headline used the wrong null,MT086 | MT087,"Mean majority-sign agreement E[max(p,1-p)]",percent,Historical correction example. Observed range is not a confidence interval; no error bars are inferred.,,documented_values,S0607,publication-workspace/work/full_measurement_evidence.json,/plots/sign_null,true,1,2,measurement__sign_null__values.csv
measurement,adapted_correlation,Sign correlation survives adaptation,MT088 | MT089,rho_s: excess temporal variance of pooled sign fraction divided by pooled Bernoulli variance,dimensionless,"R18/C10, alpha0=1e-3, steady half of 20 epochs. The fr5 replication is separate and must not inherit n=10. The pooled-floor rho_s estimate is a lower bound.",,documented_values,S0608 | S0609,publication-workspace/work/full_measurement_evidence.json,/plots/adapted_correlation,true,1,3,measurement__adapted_correlation__values.csv
measurement,effective_independence_families,Effective independence across four model/data combinations,MT088 | MT089 | MT091 | MT099,N_eff/m = 1 / (1 + (m-1)rho_s),fraction,"SGDm, steady half of 20-epoch runs. Frozen/free values are rounded in the source; box-free values have four decimals. Never label the fraction “percent signal.”",,documented_values,S0610 | S0611,publication-workspace/work/full_measurement_evidence.json,/plots/effective_independence_families,true,1,4,measurement__effective_independence_families__values.csv
measurement,adaptation_dial,Correlation suppression changes gradually,MT092 | MT100,Profile exponent b; k=1 suppression; weightwise N_eff/m,dimensionless,"R18/C10, 20 epochs, n=3 per rung. Frozen beta is an anchor, not a logarithmic zero. Show the invalid 1e-2 rung separately or omit it.",,documented_values,S0612,publication-workspace/work/full_measurement_evidence.json,/plots/adaptation_dial,true,1,4,measurement__adaptation_dial__values.csv
measurement,correlation_profile,Frozen correlation profile survives floor correction,MT093,Implied weightwise sign correlation rho_w versus average block size k,rho dimensionless; k coordinates per group,"R18/C10, frozen beta, steady half, geometric means across source seeds. There are three measured rung points; connecting lines are not a fitted scale law.",,documented_values,S0613,publication-workspace/work/full_measurement_evidence.json,/plots/correlation_profile,true,1,3,measurement__correlation_profile__values.csv
measurement,correlation_range_families,The off-equilibrium profile repeats across families,MT093,k=1 to layerwise profile fall and exchangeability overprediction,fold,"Frozen beta, 20 epochs, n=2 per arm. This temporal-correlation profile is distinct from the marginal-sign kernel curve E(u).",,documented_values,S0614,publication-workspace/work/full_measurement_evidence.json,/plots/correlation_range_families,true,1,4,measurement__correlation_range_families__values.csv
measurement,neff_training_windows,Effective independence declines in later windows,MT090 | MT102 | MT103,N_eff/m,fraction,"A window contrast, not an independent causal budget treatment. All 12 br6 runs are box-free. Layerwise change is unresolved at the available resolution.",,documented_values,S0615 | S0616,publication-workspace/work/full_measurement_evidence.json,/plots/neff_training_windows,true,1,3,measurement__neff_training_windows__values.csv
measurement,base_optimizer_order,The partition ordering does not transfer to AdamW,MT090 | MT102 | MT103,N_eff/m,fraction,"20 epochs, R18/C10. bo7 pools two ceilings after its invariance gate passes. AdamW meta-step and initial step size are untuned; this is not a universal optimizer ranking.",,documented_values,S0617 | S0618,publication-workspace/work/full_measurement_evidence.json,/plots/base_optimizer_order,true,1,3,measurement__base_optimizer_order__values.csv
measurement,estimator_correction,The exponent effect survives correction,MT092 | MT100,s = slope log10(N_eff) versus log10(m),dimensionless,"p5 versus fr5, n=2–3, 20 epochs. Show raw agreement only as the superseded historical comparison. Do not use s to rank architectures.",,documented_values,S0619,publication-workspace/work/full_measurement_evidence.json,/plots/estimator_correction,true,1,3,measurement__estimator_correction__values.csv
measurement,rebound_unclipping,Unclipping does not remove the rebound,MT091 | MT099,rho_w(k=1) in Q4 divided by rho_w(k=1) in Q3,fold,"Q4/Q3 of rho_w(k=1), as defined by analysis/c52_boxfree.py:459. R10 and C100, n=2. The values are transcribed from CORRECTIONS 69; the exact ratio definition is checked against reducer source.",,documented_values,S0620 | S0621,publication-workspace/work/full_measurement_evidence.json,/plots/rebound_unclipping,true,1,2,measurement__rebound_unclipping__values.csv
measurement,kernel_field_curves,Marginal-sign structure is strongest below one channel,MT097,E(u)=100*(R_corrected(u)-mean R_null(u)); R is explained within-tensor marginal-sign variance,percentage points of explained variance; u in output-channel row units,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured.",,cached_plot_data_recomputed_peak,S0624 | S0625 | S0626 | S0627 | S0628,publication-workspace/work/full_measurement_evidence.json,/plots/kernel_field_curves,true,2,594,measurement__kernel_field_curves__peak_summary.csv | measurement__kernel_field_curves__all_curve_points.csv
measurement,kernel_meta_step,The kernel-scale location survives meta-step changes,MT097,u_peak and geometric-mean E_peak,channel units; E percentage points,The 1e-2 rung is guard-dominated. Its 84.266 pp amplitude is not evidence of a clean adaptation effect. The clean maximum/minimum amplitude ratio is 1.524.,,cached_plot_data,S0625 | S0629,publication-workspace/work/full_measurement_evidence.json,/plots/kernel_meta_step,true,1,5,measurement__kernel_meta_step__values.csv
measurement,bridge_current,The field-to-partition bridge fails,MT098,Field scale vs the corrected best training region,output-channel units,"Report separation at least log10(512) = 2.70927 decades. The best training region is from the corrected historical comparison, not a newly located joint optimum. Do not present the old 16/21 layerwise peaks as current: that table used legacy last-20 accuracy.",,documented_corrected_bound,S0630,publication-workspace/work/full_measurement_evidence.json,/plots/bridge_current,true,1,3,measurement__bridge_current__values.csv
measurement,bridge_cc1,A direct matched-count test defeats the predictive claim,MT098,Delta plateau5 and delta N_eff/m between pre-registered matched-count pairs,accuracy percentage points; effective-independence fraction,"cc1: R18/C10, 100 epochs, meta-step 1e-4, fresh seeds 3–5, n=3 per arm, all 12 box-free. t values are Welch statistics. Field means are rounded in the record; do not reconstruct SE from the tiny rounded accuracy t. This is the strongest later direct test of the predictive claim.",,documented_registered_scorer_result,S0631 | S0632,publication-workspace/work/full_measurement_evidence.json,/plots/bridge_cc1,true,1,2,measurement__bridge_cc1__values.csv
measurement,window_metric_error,Window choice changed the 20-epoch conclusion,MT108 | MT109 | MT110 | MT112,Historical last20 versus last5 testaccuracy at20epochs,accuracy percent,"Representative headline configuration: same cells, different window. Across four strata, resolved argmaxes fall from four to zero. Pooled counts 27/25/26 describe a separate stratified summary.",,documented_correction,S0633,publication-workspace/work/full_measurement_evidence.json,/plots/window_metric_error,true,1,3,measurement__window_metric_error__values.csv
