collection,panel_id,panel_title,entry_ids,metric,units,scope,notes,evidence_level,panel_source_ids,evidence_file,evidence_json_pointer,dataset_id,filename,role,row_count,column_count,sha256
mechanism,imagenet489,ImageNet-489: gap and count ladder,MT140 | MT151,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). | Do not combine their means or uncertainty. | 489classes, not1000; use batch-specific anchors for capture. | in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",raw epoch reconstruction,S0084 | S0085 | S0086 | S0087 | S0088 | S0089,publication-workspace/work/full_mechanism_evidence.json,/panels/imagenet489/rows,mechanism.imagenet489.per_seed,mechanism__imagenet489__per_seed.csv,per_seed,26,34,247b40dfcea7e0622ed8aa0b70c79cbe17b9e454d4712acd5645452afe1b8758
mechanism,imagenet489,ImageNet-489: gap and count ladder,MT140 | MT151,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). | Do not combine their means or uncertainty. | 489classes, not1000; use batch-specific anchors for capture. | in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",raw epoch reconstruction,S0084 | S0085 | S0086 | S0087 | S0088 | S0089,publication-workspace/work/full_mechanism_evidence.json,/panels/imagenet489; /batches/*/runs,mechanism.imagenet489.epoch_curves,mechanism__imagenet489__epoch_curves.csv,epoch_curves,2174,13,1933ec106864b36b95ad95aa644994137f44e3f7bfe19040295e30ce4bf5bf32
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tn1`, 12 runs, 100 ep",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet/rows,mechanism.tinyimagenet.arm_summary,mechanism__tinyimagenet__arm_summary.csv,arm_summary,4,42,08ed3d4b9dced3342b667b09028c2cecd973d573e460b7ef5e16140c1c2d69dc
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tn1`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet/rows,mechanism.tinyimagenet.per_seed,mechanism__tinyimagenet__per_seed.csv,per_seed,12,34,1f6782d6e362072df920babd64f38d9e86561d4bc8bb33b7d9cf4e3b8401c769
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`tn1`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet; /batches/*/runs,mechanism.tinyimagenet.epoch_curves,mechanism__tinyimagenet__epoch_curves.csv,epoch_curves,1200,13,28bb30daccafdcb608c5a49012ca43263403b70411830066869db220938048e2
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,Minuend minus subtrahend TEST plateau5,percentage points,"`tn1`, 12 runs, 100 ep | Descriptive unpaired SE and paired seed SD/SE are separate; neither substitutes for a registered pooled/prior scoring bar.",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet/contrasts,mechanism.tinyimagenet.contrasts,mechanism__tinyimagenet__contrasts.csv,contrasts,1,16,c949fc2da1faf4ce9f88345cf6459367c7b400db550fb6b5d4b9682017d347c7
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,Paired-seed difference in TEST plateau5,percentage points,"`tn1`, 12 runs, 100 ep",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet/contrasts,mechanism.tinyimagenet.paired_seed_contrasts,mechanism__tinyimagenet__paired_seed_contrasts.csv,paired_seed_contrasts,3,10,f26007553b13170a22bb0d93db0343bc8ac1ce69b1ac6d5bc6e71b37e3863133
mechanism,r_rescaling_control,Tuning meta stepsize does not erase r benefit,MT132,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`g4m`, 72 runs, 100 ep, ONE batch","All four r levels share the same six-point meta-stepsize grid. | Use the winning rung within each r only with its full tuning grid visible. | r=0 is scalar-like within the additive operator, not the scalar optimizer.",raw epoch reconstruction,S0177 | S0103 | S0178,publication-workspace/work/full_mechanism_evidence.json,/panels/r_rescaling_control/rows,mechanism.r_rescaling_control.arm_summary,mechanism__r_rescaling_control__arm_summary.csv,arm_summary,24,42,ad0ccf11e4b2d08f34503002d1079afa986a82380bd2864e123a7164678c537f
mechanism,r_rescaling_control,Tuning meta stepsize does not erase r benefit,MT132,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","All four r levels share the same six-point meta-stepsize grid. | Use the winning rung within each r only with its full tuning grid visible. | r=0 is scalar-like within the additive operator, not the scalar optimizer.",raw epoch reconstruction,S0177 | S0103 | S0178,publication-workspace/work/full_mechanism_evidence.json,/panels/r_rescaling_control/rows,mechanism.r_rescaling_control.per_seed,mechanism__r_rescaling_control__per_seed.csv,per_seed,72,34,afac4ab224b9b8d4a9255f4e886b3153d26286d6dfd9f88fa1c11ed9b597f49f
mechanism,r_rescaling_control,Tuning meta stepsize does not erase r benefit,MT132,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`g4m`, 72 runs, 100 ep, ONE batch | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","All four r levels share the same six-point meta-stepsize grid. | Use the winning rung within each r only with its full tuning grid visible. | r=0 is scalar-like within the additive operator, not the scalar optimizer.",raw epoch reconstruction,S0177 | S0103 | S0178,publication-workspace/work/full_mechanism_evidence.json,/panels/r_rescaling_control; /batches/*/runs,mechanism.r_rescaling_control.epoch_curves,mechanism__r_rescaling_control__epoch_curves.csv,epoch_curves,7200,13,de5683fbe1112b1303b8670844ba164e9832f9bffa289df3134b693204c324c6
mechanism,two_level_shrinkage,Two-level shrinkage loses to plain layerwise,MT133,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tl1`, 42 runs, 100 ep",Separate alpha0=1e-6 and1e-3; plain and scalar controls are explicitly distinct from r endpoints.,raw epoch reconstruction,S0221 | S0103 | S0222,publication-workspace/work/full_mechanism_evidence.json,/panels/two_level_shrinkage/rows,mechanism.two_level_shrinkage.arm_summary,mechanism__two_level_shrinkage__arm_summary.csv,arm_summary,14,42,bedbfe5ec9c7a37d39a5bf99fb0c9c5bc3982c86562b52e39a5755ae428cc410
mechanism,two_level_shrinkage,Two-level shrinkage loses to plain layerwise,MT133,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tl1`, 42 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",Separate alpha0=1e-6 and1e-3; plain and scalar controls are explicitly distinct from r endpoints.,raw epoch reconstruction,S0221 | S0103 | S0222,publication-workspace/work/full_mechanism_evidence.json,/panels/two_level_shrinkage/rows,mechanism.two_level_shrinkage.per_seed,mechanism__two_level_shrinkage__per_seed.csv,per_seed,42,34,e60117743e5f9b2f98048660a6b3100bab01cd885fcc1490675248780361e236
mechanism,two_level_shrinkage,Two-level shrinkage loses to plain layerwise,MT133,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`tl1`, 42 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",Separate alpha0=1e-6 and1e-3; plain and scalar controls are explicitly distinct from r endpoints.,raw epoch reconstruction,S0221 | S0103 | S0222,publication-workspace/work/full_mechanism_evidence.json,/panels/two_level_shrinkage; /batches/*/runs,mechanism.two_level_shrinkage.epoch_curves,mechanism__two_level_shrinkage__epoch_curves.csv,epoch_curves,4200,13,503f0fcdb3ddca77060b2781eeac5150bc74ac40ae282844d3dfabbf821f85b5
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`eb1`, 18 runs, 100 ep","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes/rows,mechanism.empirical_bayes.arm_summary,mechanism__empirical_bayes__arm_summary.csv,arm_summary,6,42,00461e626404f17110533de6922f3236a65e19121f510d354f3051bfdaef00d8
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`eb1`, 18 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes/rows,mechanism.empirical_bayes.per_seed,mechanism__empirical_bayes__per_seed.csv,per_seed,18,34,1bb43930a8aaf5629d177d9de9a0e57751482fd7b3e4b3579977210ec5600f0e
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`eb1`, 18 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes; /batches/*/runs,mechanism.empirical_bayes.epoch_curves,mechanism__empirical_bayes__epoch_curves.csv,epoch_curves,1800,13,7774d1647a982945bf953e356b16600eac145fd3b6aa1f851969104a873d8415
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,Minuend minus subtrahend TEST plateau5,percentage points,"`eb1`, 18 runs, 100 ep | Descriptive unpaired SE and paired seed SD/SE are separate; neither substitutes for a registered pooled/prior scoring bar.","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes/contrasts,mechanism.empirical_bayes.contrasts,mechanism__empirical_bayes__contrasts.csv,contrasts,1,16,1bb95027e8333ca26f15935dd6c02bb7f554b2940bc2f2ebdaf32c996e9824d9
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,Paired-seed difference in TEST plateau5,percentage points,"`eb1`, 18 runs, 100 ep","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes/contrasts,mechanism.empirical_bayes.paired_seed_contrasts,mechanism__empirical_bayes__paired_seed_contrasts.csv,paired_seed_contrasts,3,10,1e3d9a653b1407293eb3a61f899813600e8e5da6562a598f5bd2bf98998fccc8
mechanism,resnet50_r_ladder,ResNet-50 ladder remains unresolved,MT135,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`a2g3`, 36 runs, 100 ep, ResNet-50","Both alpha0 strata individually UNRESOLVED; combined SPLIT is not disagreement in individual verdicts. | Three seeds, six r levels per alpha0; all36runs reached100epochs.",raw epoch reconstruction,S0279 | S0103 | S0280,publication-workspace/work/full_mechanism_evidence.json,/panels/resnet50_r_ladder/rows,mechanism.resnet50_r_ladder.arm_summary,mechanism__resnet50_r_ladder__arm_summary.csv,arm_summary,12,42,d51504683d6e34743859f8f2f4d9bf406463309770784a3521223b73afbfbfe6
mechanism,resnet50_r_ladder,ResNet-50 ladder remains unresolved,MT135,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`a2g3`, 36 runs, 100 ep, ResNet-50 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Both alpha0 strata individually UNRESOLVED; combined SPLIT is not disagreement in individual verdicts. | Three seeds, six r levels per alpha0; all36runs reached100epochs.",raw epoch reconstruction,S0279 | S0103 | S0280,publication-workspace/work/full_mechanism_evidence.json,/panels/resnet50_r_ladder/rows,mechanism.resnet50_r_ladder.per_seed,mechanism__resnet50_r_ladder__per_seed.csv,per_seed,36,34,c2dbd42941187461c955b28d832952fa3e5bbbbd6e10d64de6a0a6d55feb562e
mechanism,resnet50_r_ladder,ResNet-50 ladder remains unresolved,MT135,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`a2g3`, 36 runs, 100 ep, ResNet-50 | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Both alpha0 strata individually UNRESOLVED; combined SPLIT is not disagreement in individual verdicts. | Three seeds, six r levels per alpha0; all36runs reached100epochs.",raw epoch reconstruction,S0279 | S0103 | S0280,publication-workspace/work/full_mechanism_evidence.json,/panels/resnet50_r_ladder; /batches/*/runs,mechanism.resnet50_r_ladder.epoch_curves,mechanism__resnet50_r_ladder__epoch_curves.csv,epoch_curves,3600,13,bbd85f4823810da20fc882c056dae72124828de76978315652cd3bcde2bb4ea5
mechanism,adam_lion_r_ladder,Meta-optimizer specificity: sampled result and open interval,MT138,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`lsm1`, 24 runs, 100 ep","Lion observed at0,.06,1; Adam at0,.03,.06,.2,1. Missing rungs must remain missing in plots. | No vanishing claim: Adam argmax=.03 neighbors unsampled(0,.03). | All24existingruns completed100epochs; proposed.01/.015extension is unregistered.",raw epoch reconstruction,S0305 | S0306 | S0307,publication-workspace/work/full_mechanism_evidence.json,/panels/adam_lion_r_ladder/rows,mechanism.adam_lion_r_ladder.arm_summary,mechanism__adam_lion_r_ladder__arm_summary.csv,arm_summary,8,42,1b2fa9f686ac06722b637d3f04e0bc692d49ebb2a916748f32b89f5bba59b53e
mechanism,adam_lion_r_ladder,Meta-optimizer specificity: sampled result and open interval,MT138,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`lsm1`, 24 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Lion observed at0,.06,1; Adam at0,.03,.06,.2,1. Missing rungs must remain missing in plots. | No vanishing claim: Adam argmax=.03 neighbors unsampled(0,.03). | All24existingruns completed100epochs; proposed.01/.015extension is unregistered.",raw epoch reconstruction,S0305 | S0306 | S0307,publication-workspace/work/full_mechanism_evidence.json,/panels/adam_lion_r_ladder/rows,mechanism.adam_lion_r_ladder.per_seed,mechanism__adam_lion_r_ladder__per_seed.csv,per_seed,24,34,0aa5abc94c0e55f0f4a07089effef3a3a74b45eb8c540d8d1461cc4625e915a9
mechanism,adam_lion_r_ladder,Meta-optimizer specificity: sampled result and open interval,MT138,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`lsm1`, 24 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Lion observed at0,.06,1; Adam at0,.03,.06,.2,1. Missing rungs must remain missing in plots. | No vanishing claim: Adam argmax=.03 neighbors unsampled(0,.03). | All24existingruns completed100epochs; proposed.01/.015extension is unregistered.",raw epoch reconstruction,S0305 | S0306 | S0307,publication-workspace/work/full_mechanism_evidence.json,/panels/adam_lion_r_ladder; /batches/*/runs,mechanism.adam_lion_r_ladder.epoch_curves,mechanism__adam_lion_r_ladder__epoch_curves.csv,epoch_curves,2400,13,b1154f7c5eb274bc256fb4679b9ab3e3ac3d4e21575f1b97347ed7dd7c698f9c
mechanism,identity_order,Name-set permutation tests,MT152,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cpr1`, 15 runs, 100 ep","Registered CLASS-OPERATIVE branch is arithmetically unreachable. | DS point agreement withdrawn; single-tensor additivity refuted. | These are100-epoch measurements on seeds9,10,11.",raw epoch reconstruction,S0323 | S0324 | S0325,publication-workspace/work/full_mechanism_evidence.json,/panels/identity_order/rows,mechanism.identity_order.arm_summary,mechanism__identity_order__arm_summary.csv,arm_summary,5,42,53f6d763bf9d8ddbe1f3dab839b9b2276c31fb09c856127509fedf2ca5d745e6
mechanism,identity_order,Name-set permutation tests,MT152,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cpr1`, 15 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Registered CLASS-OPERATIVE branch is arithmetically unreachable. | DS point agreement withdrawn; single-tensor additivity refuted. | These are100-epoch measurements on seeds9,10,11.",raw epoch reconstruction,S0323 | S0324 | S0325,publication-workspace/work/full_mechanism_evidence.json,/panels/identity_order/rows,mechanism.identity_order.per_seed,mechanism__identity_order__per_seed.csv,per_seed,15,34,86ac6c6991ae0b4ffcf013f7606aada5ff55a4248e8c05ad04846ee153594855
mechanism,identity_order,Name-set permutation tests,MT152,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`cpr1`, 15 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Registered CLASS-OPERATIVE branch is arithmetically unreachable. | DS point agreement withdrawn; single-tensor additivity refuted. | These are100-epoch measurements on seeds9,10,11.",raw epoch reconstruction,S0323 | S0324 | S0325,publication-workspace/work/full_mechanism_evidence.json,/panels/identity_order; /batches/*/runs,mechanism.identity_order.epoch_curves,mechanism__identity_order__epoch_curves.csv,epoch_curves,1500,13,d123ed737e8be4894a18abeff2c72966a7a2bf28686409ff95ee838c54e39303
mechanism,contiguity_mass,Coarse mass fails; contiguity remains confounded,MT153 | MT154,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638","cpg1 kG and cpr1 kS both have3,956,288parameters in the coarse group. | That exact-mass comparison is CROSS-BATCH; show the batch labels. | CONTIGUITY-OPERATIVE remains observationally equivalent to a tensor-membership rival.",raw epoch reconstruction,S0341 | S0342 | S0343 | S0344 | S0345,publication-workspace/work/full_mechanism_evidence.json,/panels/contiguity_mass/rows,mechanism.contiguity_mass.arm_summary,mechanism__contiguity_mass__arm_summary.csv,arm_summary,6,42,7ab503a05a5b530de51a3db6ade67b755eb384cbb8685ad347721279df986ffd
