batch,arm,label,group_index_1based,tensor_count,source_ids,scope,units
cbl1,c32,c32,1,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,2,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,3,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,4,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,5,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,6,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,7,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,8,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,9,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,10,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,11,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,12,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,13,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,14,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,15,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,16,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,17,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,18,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,19,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,20,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,21,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,22,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,23,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,24,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,25,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,26,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,27,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,28,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,29,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,30,2,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,31,1,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c32,c32,32,1,S0037 | S0038 | S0039,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,1,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,2,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,3,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,4,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,5,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,6,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,7,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,8,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,9,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,10,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,11,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,12,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,13,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,14,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,15,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,16,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,17,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,18,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,19,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,20,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,21,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,22,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,23,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,24,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,25,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,26,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,27,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,28,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,29,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,30,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,31,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,32,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,33,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,34,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,35,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,36,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,37,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,38,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,39,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,40,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,41,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,42,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,43,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,44,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,45,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,46,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,47,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,48,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,49,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c62,c62,50,1,S0040 | S0041 | S0042,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
